inv_id,product_name,category,restock_date,expiry_date,days_to_expiry,shelf_life_days,qty_in,qty_sold,qty_damaged,qty_adjusted,qty_remaining,unit_price_ngn,total_revenue_ngn,store_city,storage_temp,demand_forecast,seasonality,holiday_promo,weather_condition,restock_count,weekly_sales_rate,sell_through_rate,wastage_rate,shelf_utilisation,purchase_frequency,total_units_sold_all,expiry_risk,sales_velocity,customer_preference,slow_mover,kaggle_store_id,kaggle_product_id,kaggle_region,data_source
INV066128,Fanta Crate 24,Beverages,2023-10-24,2023-11-07,0.0,14,130,79,0.0,2.0,53,12680,1001720,Kano,Cool,139.31,Winter,1,Snowy,16,39.5,0.6077,0.0,1.0,0.0,0.0,Medium,Fast,Medium,No,S002,P0008,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV043486,Huggies Medium 32pk,Baby & Infant,2023-03-11,2024-03-10,0.0,365,130,68,2.0,-1.0,59,16899,1149132,Onitsha,Ambient,117.55,Spring,1,Cloudy,2,1.3041,0.5231,0.0154,1.0,533.0,2766.0,Medium,Moderate,High,No,S005,P0006,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV034305,Vaseline Body Lotion 400ml,Personal Care,2022-12-10,2024-12-09,0.0,730,130,62,1.0,-2.0,65,2811,174282,Uyo,Ambient,78.51,Winter,0,Snowy,13,0.5945,0.4769,0.0077,1.0,0.0,0.0,High,Slow,Medium,No,S001,P0005,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV034318,Golden Penny Spaghetti 500g,Pasta & Noodles,2022-12-10,2023-06-08,0.0,180,130,39,0.0,1.0,92,774,30186,Jos,Ambient,103.11,Spring,0,Sunny,22,1.5167,0.3,0.0,1.0,555.0,2860.0,High,Slow,High,No,S001,P0018,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV038632,Tuna in Brine 185g,Canned & Packaged Foods,2023-01-22,2025-01-21,0.0,730,130,68,0.0,-2.0,60,2807,190876,Kano,Ambient,92.47,Winter,0,Sunny,18,0.6521,0.5231,0.0,1.0,0.0,0.0,Medium,Slow,Medium,No,S002,P0012,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV042112,Golden Penny Spaghetti 500g,Pasta & Noodles,2023-02-26,2023-08-25,0.0,180,130,72,3.0,0.0,55,552,39744,Lagos,Ambient,222.51,Summer,0,Sunny,10,2.8,0.5538,0.0231,1.0,555.0,2860.0,Expired,Moderate,High,No,S001,P0012,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV063602,Baking Powder 100g,Canned & Packaged Foods,2023-09-29,2024-09-28,0.0,365,113,87,2.0,-2.0,22,501,43587,Ibadan,Ambient,91.25,Summer,0,Snowy,2,1.6685,0.7699,0.0177,1.0,0.0,0.0,Medium,Moderate,Medium,No,S001,P0002,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV030663,Gillette Razor 5pk,Personal Care,2022-11-03,2023-11-03,0.0,365,130,14,0.0,-1.0,115,2650,37100,Enugu,Ambient,56.67,Summer,1,Sunny,1,0.2685,0.1077,0.0,1.0,0.0,0.0,High,Slow,Low,Yes,S004,P0003,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV021440,Banana Bunch,Fresh & Perishable,2022-08-03,2022-08-10,0.0,7,130,127,0.0,-1.0,2,2962,376174,Port Harcourt,Refrigerated,139.11,Winter,0,Sunny,19,127.0,0.9769,0.0,1.0,0.0,0.0,Expired,Fast,Low,Yes,S002,P0020,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV012108,Fresh Pepper 500g,Fresh & Perishable,2022-05-02,2022-05-09,0.0,7,130,53,1.0,0.0,76,652,34556,Kano,Refrigerated,46.45,Summer,1,Rainy,17,53.0,0.4077,0.0077,1.0,0.0,0.0,Expired,Moderate,Low,No,S001,P0008,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV058548,Kitchen Towel 6 rolls,Household Essentials,2023-08-09,2024-08-08,0.0,365,108,9,0.0,0.0,99,2839,25551,Ilorin,Ambient,7.89,Spring,1,Rainy,17,0.1726,0.0833,0.0,1.0,0.0,0.0,Expired,Moderate,High,No,S003,P0008,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV050044,Vegetable Oil 5L,Cooking Oils & Fats,2023-05-16,2024-05-15,0.0,365,130,69,0.0,0.0,61,10128,698832,Benin City,Ambient,125.6,Summer,1,Sunny,14,1.3233,0.5308,0.0,1.0,529.0,2972.0,Medium,Moderate,High,No,S003,P0004,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV065817,Kitchen Towel 6 rolls,Household Essentials,2023-10-21,2024-10-20,0.0,365,130,95,2.0,0.0,33,2348,223060,Uyo,Ambient,335.27,Winter,1,Sunny,21,1.8219,0.7308,0.0154,1.0,0.0,0.0,Medium,Moderate,High,No,S001,P0017,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV047158,Pampers Small 36pk,Baby & Infant,2023-04-17,2024-04-16,0.0,365,127,41,5.0,0.0,81,13544,555304,Owerri,Ambient,56.58,Spring,0,Cloudy,24,0.7863,0.3228,0.0394,1.0,581.0,3167.0,High,Slow,High,No,S003,P0018,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV020706,Omo Detergent 1kg,Personal Care,2022-07-27,2023-07-27,0.0,365,87,71,0.0,0.0,16,2408,170968,Owerri,Ambient,88.45,Winter,1,Snowy,5,1.3616,0.8161,0.0,1.0,512.0,2627.0,Expired,Fast,Medium,No,S001,P0006,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV038405,Fresh Tomatoes 1kg,Fresh & Perishable,2023-01-20,2023-01-27,0.0,7,114,78,0.0,0.0,36,1074,83772,Kano,Refrigerated,69.73,Autumn,1,Cloudy,7,78.0,0.6842,0.0,1.0,513.0,2743.0,Expired,Fast,High,No,S001,P0005,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV051363,Tissue Paper 12 rolls,Household Essentials,2023-05-29,2024-05-28,0.0,365,130,127,1.0,-1.0,1,3570,453390,Onitsha,Ambient,462.87,Winter,0,Rainy,23,2.4356,0.9769,0.0077,1.0,539.0,2783.0,Low,Fast,High,No,S004,P0003,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV030539,Morning Fresh 500ml,Personal Care,2022-11-02,2023-11-02,0.0,365,130,38,0.0,0.0,90,2713,103094,Port Harcourt,Ambient,138.83,Autumn,0,Snowy,12,0.7288,0.2923,0.0,1.0,0.0,0.0,High,Slow,Low,Yes,S002,P0019,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV015180,Dangote Spaghetti 500g,Pasta & Noodles,2022-06-01,2022-11-28,0.0,180,130,35,0.0,0.0,95,535,18725,Uyo,Ambient,96.53,Summer,0,Sunny,18,1.3611,0.2692,0.0,1.0,0.0,0.0,Expired,Slow,Low,No,S004,P0020,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV053607,Gillette Razor 5pk,Personal Care,2023-06-21,2024-06-20,0.0,365,130,48,3.0,0.0,79,2270,108960,Kaduna,Ambient,178.97,Autumn,1,Cloudy,9,0.9205,0.3692,0.0231,1.0,0.0,0.0,Low,Moderate,Low,Yes,S001,P0007,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV018830,Morning Fresh 500ml,Personal Care,2022-07-08,2023-07-08,0.0,365,130,76,3.0,0.0,51,2662,202312,Uyo,Ambient,286.12,Winter,1,Snowy,13,1.4575,0.5846,0.0231,1.0,0.0,0.0,Medium,Moderate,Medium,No,S002,P0010,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV016291,Omo Detergent 1kg,Personal Care,2022-06-12,2023-06-12,0.0,365,130,39,3.0,0.0,86,2127,82953,Warri,Ambient,62.24,Spring,0,Snowy,6,0.7479,0.3,0.0231,1.0,512.0,2627.0,High,Slow,High,No,S005,P0011,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV032453,Sponge 3pk,Household Essentials,2022-11-21,2023-02-19,0.0,90,66,52,0.0,0.0,14,510,26520,Lagos,Ambient,60.79,Summer,1,Rainy,8,4.0444,0.7879,0.0,1.0,0.0,0.0,Expired,Fast,Medium,No,S003,P0013,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV069484,Lux Soap 6pk,Personal Care,2023-11-26,2024-11-25,0.0,365,130,74,0.0,-2.0,54,2337,172938,Kaduna,Ambient,250.87,Autumn,1,Snowy,4,1.4192,0.5692,0.0,1.0,0.0,0.0,Expired,Fast,High,Yes,S005,P0004,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV025795,Gala Sausage Roll,Snacks & Confectionery,2022-09-15,2022-09-29,0.0,14,130,58,1.0,0.0,71,414,24012,Jos,Ambient,97.89,Summer,0,Cloudy,1,29.0,0.4462,0.0077,1.0,570.0,3084.0,Expired,Moderate,High,No,S005,P0015,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV000780,Eggs Crate 30,Fresh & Perishable,2022-01-08,2022-01-22,0.0,14,130,43,0.0,0.0,87,2993,128699,Kaduna,Refrigerated,71.18,Spring,1,Sunny,4,21.5,0.3308,0.0,1.0,544.0,2902.0,Expired,Moderate,High,No,S004,P0020,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV005346,Jam Strawberry 450g,Canned & Packaged Foods,2022-02-23,2023-02-23,0.0,365,130,111,0.0,0.0,19,2583,286713,Warri,Ambient,215.67,Spring,0,Snowy,1,2.1288,0.8538,0.0,1.0,0.0,0.0,Low,Moderate,High,No,S003,P0006,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV057900,Tuna in Brine 185g,Canned & Packaged Foods,2023-08-02,2025-08-01,77.0,730,72,11,0.0,0.0,61,3032,33352,Jos,Ambient,7.7,Spring,0,Rainy,22,0.1055,0.1528,0.0,0.8945,0.0,0.0,Low,Slow,Low,Yes,S005,P0020,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV070381,Pampers Small 36pk,Baby & Infant,2023-12-05,2024-12-04,0.0,365,79,8,0.0,2.0,73,15685,125480,Onitsha,Ambient,20.47,Autumn,1,Cloudy,15,0.1534,0.1013,0.0,1.0,581.0,3167.0,High,Slow,High,Yes,S005,P0001,North,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV009264,Golden Morn 500g,Pasta & Noodles,2022-04-03,2022-07-02,0.0,90,130,32,1.0,0.0,96,1097,35104,Kano,Ambient,113.25,Winter,0,Snowy,20,2.4889,0.2462,0.0077,1.0,0.0,0.0,Medium,Fast,High,No,S004,P0004,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV025719,Ginger Fresh 500g,Fresh & Perishable,2022-09-15,2022-09-29,0.0,14,130,95,0.0,0.0,35,659,62605,Abuja,Refrigerated,218.39,Summer,0,Snowy,1,47.5,0.7308,0.0,1.0,0.0,0.0,Expired,Fast,High,No,S001,P0019,West,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV063095,Shea Butter 250g,Cooking Oils & Fats,2023-09-23,2024-09-22,0.0,365,130,38,3.0,0.0,89,3755,142690,Ibadan,Ambient,66.54,Autumn,0,Rainy,6,0.7288,0.2923,0.0231,1.0,0.0,0.0,High,Fast,High,No,S005,P0015,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV027668,Ariel Detergent 1kg,Personal Care,2022-10-04,2023-10-04,0.0,365,130,95,0.0,-2.0,33,2461,233795,Owerri,Ambient,335.53,Autumn,1,Snowy,22,1.8219,0.7308,0.0,1.0,0.0,0.0,Medium,Moderate,High,No,S004,P0008,South,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
INV034939,Indomie Noodles 70g,Snacks & Confectionery,2022-12-16,2023-02-14,0.0,60,130,91,3.0,0.0,36,172,15652,Lagos,Ambient,318.54,Spring,0,Rainy,19,10.6167,0.7,0.0231,1.0,533.0,2895.0,Low,Moderate,Low,Yes,S002,P0019,East,Kaggle Retail Store Inventory Forecasting Dataset (Nigerian market adaptation)
